"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SUMMER 2013,,,,,,,,"PUBLICATION DATE:  AUGUST 26, 2013",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120135 ,KN ,570 ,NDEG ,0093 ,Special Education ,  ,  ,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,1,2,10KS0093NDEG
120135 ,KN ,570 ,PHD ,0093 ,Special Education ,  ,  ,18,1,17,0,14,0,0,2,0,0,0,2,0,0,0,10,8,10KS0093PHD
120135 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3957 ,ECh: Anthropology ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KN3957BS
120135 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3968 ,ECh: Language arts ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KN3968BS
120135 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3969 ,ECh: Linguistics ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10KN3969BS
120135 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3970 ,ECh: Mathematics ,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10KN3970BS
120135 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3975 ,ECh: Psychology ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KN3975BS
120135 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3976 ,ECh: Sociology ,2,0,2,0,0,0,1,1,0,0,0,0,0,1,0,2,0,10KN3976BS
120135 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,4014 ,ECh: Spanish ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KN4014BS
120135 ,KN ,613 ,BS ,0095 ,Elementary Education ,  ,  ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KN0095BS
120135 ,KN ,613 ,BS ,0095 ,Elementary Education ,3946 ,EIEd: History ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KN3946BS
120135 ,KN ,613 ,BS ,0095 ,Elementary Education ,3947 ,EIEd: Language Arts ,7,0,7,0,5,0,1,1,0,0,0,0,0,1,0,7,0,10KN3947BS
120135 ,KN ,613 ,BS ,0095 ,Elementary Education ,3949 ,EIEd: Mathematics ,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,5,0,10KN3949BS
120135 ,KN ,613 ,BS ,0095 ,Elementary Education ,3952 ,EIEd: Physics ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KN3952BS
120135 ,KN ,613 ,BS ,0095 ,Elementary Education ,3996 ,EIEd: French ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KN3996BS
