"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SUMMER 2010,,,,,,,,"PUBLICATION DATE:  JULY 28, 2010",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120105 ,KM ,902 ,BS ,5073 ,Management ,0086 ,Entrepreneurship ,6,4,2,0,4,1,1,0,0,0,0,0,0,1,0,5,1,10KM5073BS
120105 ,KM ,902 ,BS ,5073 ,Management ,5074 ,International Business ,11,6,5,0,8,1,1,0,0,0,0,1,0,1,0,9,2,10KM5073BS
120105 ,KM ,902 ,BS ,5073 ,Management ,5074 ,International Business ,3,2,1,0,1,0,0,2,0,0,0,0,0,0,0,3,0,10KM8037BS
120105 ,KM ,902 ,BS ,5073 ,Management ,5075 ,General Management ,9,3,6,0,3,1,2,2,0,0,1,0,0,2,0,6,3,10KM5073BS
120105 ,KM ,902 ,BS ,5073 ,Management ,5075 ,General Management ,5,3,2,0,2,0,0,3,0,0,0,0,0,0,0,4,1,10KM8037BS
120105 ,KM ,902 ,MS ,0079 ,Business Administration ,  ,  ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10KS0079MS
120105 ,KM ,902 ,MS ,5148 ,Technology Management ,  ,  ,47,38,9,0,5,2,0,0,0,0,0,40,0,0,0,5,42,10KS5148MSK
120105 ,KM ,902 ,PHD ,0079 ,Business Administration ,  ,  ,13,6,7,0,4,0,0,0,0,0,0,9,0,0,0,0,13,10KS0079PHD
120105 ,KM ,938 ,MBA ,9875 ,Business Administration (MBA) ,3924 ,Executive Program ,42,34,7,1,29,3,5,1,0,0,0,1,3,5,0,39,3,10KS3924MBA2
120105 ,KM ,952 ,NDEG ,0067 ,Nondegree ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KM0067NDEG
120105 ,KM ,952 ,NONE ,0070 ,Curric Unassigned ,  ,  ,87,48,39,0,53,17,0,9,0,0,2,6,0,0,0,71,16,10KM0070NONE
120105 ,KM ,  ,  ,  ,Business ,  ,***College total*** ,1056,578,477,1,422,137,40,33,0,1,11,400,12,40,1,562,494, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
120105 ,KN ,  ,  ,  ,Education ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120105 ,KN ,335 ,NONE ,4089 ,Pre-Early Chld/Elem Ed/Spec Ed ,  ,  ,4,0,4,0,2,1,1,0,0,0,0,0,0,1,0,4,0,10KN4089NONE
120105 ,KN ,570 ,BS ,0093 ,Special Education ,  ,  ,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10KN0093BS
