"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRING 2015,,,,,,,,"PUBLICATION DATE:  FEBRUARY 13, 2015",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,,,,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,All students including multiracial and Hispanic,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
120151 ,KM ,902 ,BS ,5073 ,Management ,0086 ,Entrepreneurship ,3,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,1,10KM8037BS
120151 ,KM ,902 ,BS ,5073 ,Management ,5074 ,International Business ,17,5,12,0,10,2,2,3,0,0,0,0,0,2,0,0,2,16,1,10KM5073BS
120151 ,KM ,902 ,BS ,5073 ,Management ,5074 ,International Business ,19,4,15,0,9,3,2,2,0,0,2,1,0,2,0,1,5,16,3,10KM8037BS
120151 ,KM ,902 ,BS ,5073 ,Management ,5075 ,General Management ,24,15,9,0,17,1,1,2,0,0,1,2,0,2,0,0,1,20,4,10KM5073BS
120151 ,KM ,902 ,BS ,5073 ,Management ,5075 ,General Management ,14,5,9,0,10,1,0,2,0,0,0,1,0,0,0,0,1,13,1,10KM8037BS
120151 ,KM ,902 ,MS ,0079 ,Business Administration ,  ,  ,42,13,29,0,1,4,0,0,0,0,0,37,0,0,0,0,4,2,40,10KS0079MS
120151 ,KM ,902 ,MS ,5148 ,Technology Management ,  ,  ,103,60,43,0,11,15,1,2,0,0,0,74,0,1,0,0,15,25,78,10KS5148MSK
120151 ,KM ,902 ,PHD ,0079 ,Business Administration ,  ,  ,41,24,17,0,4,0,3,1,0,0,0,33,0,3,1,0,0,3,38,10KS0079PHD
120151 ,KM ,938 ,MBA ,9875 ,Business Administration (MBA) ,3924 ,Executive Program ,70,49,21,0,32,15,7,5,1,0,4,3,3,8,4,0,16,64,6,10KS3924MBA2
120151 ,KM ,952 ,NDEG ,0067 ,Nondegree ,  ,  ,57,35,22,0,0,0,1,0,0,0,0,55,1,1,0,0,0,1,56,10KM0067NDEG
120151 ,KM ,952 ,NONE ,0070 ,Curric Unassigned ,  ,  ,687,382,305,0,350,134,30,74,1,1,12,83,2,34,4,1,144,521,166,10KM0070NONE
120151 ,KM ,  ,  ,  ,Business ,  ,***College total*** ,4025,2192,1833,0,1797,586,153,241,2,4,66,1158,18,172,24,14,632,2565,1460, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
120151 ,KN ,  ,  ,  ,Education ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
